Frame,Chorea Label File 1,Chorea Label File 2,Issue
51998,0,2,Mismatch
51999,0,2,Mismatch
52000,0,2,Mismatch
52001,0,2,Mismatch
52002,0,2,Mismatch
52003,0,2,Mismatch
52004,0,2,Mismatch
52005,0,2,Mismatch
52006,0,2,Mismatch
52007,0,2,Mismatch
52008,0,2,Mismatch
52009,0,2,Mismatch
52010,0,2,Mismatch
52011,0,2,Mismatch
52012,0,2,Mismatch
52013,0,2,Mismatch
52014,0,2,Mismatch
52015,0,2,Mismatch
52016,0,2,Mismatch
52017,0,2,Mismatch
52018,0,2,Mismatch
52019,0,2,Mismatch
52020,0,2,Mismatch
52021,0,2,Mismatch
52022,0,2,Mismatch
52023,0,2,Mismatch
52024,0,2,Mismatch
52025,0,2,Mismatch
52026,0,2,Mismatch
52027,0,2,Mismatch
52028,0,2,Mismatch
52029,0,2,Mismatch
52030,0,2,Mismatch
52031,0,2,Mismatch
52032,0,2,Mismatch
52033,0,2,Mismatch
52034,0,2,Mismatch
52035,0,2,Mismatch
52036,0,2,Mismatch
52037,0,2,Mismatch
52038,0,2,Mismatch
52039,0,2,Mismatch
52040,0,2,Mismatch
52041,0,2,Mismatch
52042,0,2,Mismatch
52043,0,2,Mismatch
52044,0,2,Mismatch
52045,0,2,Mismatch
52046,0,2,Mismatch
52047,0,2,Mismatch
52048,0,2,Mismatch
52049,0,2,Mismatch
52050,0,2,Mismatch
52051,0,2,Mismatch
52052,0,2,Mismatch
52053,0,2,Mismatch
52054,0,2,Mismatch
52055,0,2,Mismatch
52056,0,2,Mismatch
52057,0,2,Mismatch
52058,0,2,Mismatch
52059,0,2,Mismatch
52060,0,2,Mismatch
52061,0,2,Mismatch
52062,0,2,Mismatch
52063,0,2,Mismatch
52064,0,2,Mismatch
52065,0,2,Mismatch
52066,0,2,Mismatch
52067,0,2,Mismatch
52068,0,2,Mismatch
52069,0,2,Mismatch
52070,0,2,Mismatch
52071,0,2,Mismatch
52072,0,2,Mismatch
52073,1,2,Mismatch
52074,1,2,Mismatch
52075,1,2,Mismatch
52076,1,2,Mismatch
52077,1,2,Mismatch
52078,1,2,Mismatch
52079,1,2,Mismatch
52080,1,2,Mismatch
52081,1,2,Mismatch
52082,1,2,Mismatch
52083,1,2,Mismatch
52084,1,2,Mismatch
52085,1,2,Mismatch
52086,1,2,Mismatch
52087,1,2,Mismatch
52088,1,2,Mismatch
52089,1,2,Mismatch
52090,1,2,Mismatch
52091,1,2,Mismatch
52092,1,2,Mismatch
52093,1,2,Mismatch
52094,1,2,Mismatch
52095,1,2,Mismatch
52096,1,2,Mismatch
52097,1,2,Mismatch
52098,1,2,Mismatch
52099,1,2,Mismatch
52100,1,2,Mismatch
52101,1,2,Mismatch
52102,1,2,Mismatch
52103,1,2,Mismatch
52104,1,2,Mismatch
52105,1,2,Mismatch
52106,1,2,Mismatch
52107,1,2,Mismatch
52108,1,2,Mismatch
52109,1,2,Mismatch
52110,1,2,Mismatch
52111,1,2,Mismatch
52112,1,2,Mismatch
52113,1,2,Mismatch
52114,1,2,Mismatch
52115,1,2,Mismatch
52116,1,2,Mismatch
52117,1,2,Mismatch
52118,1,2,Mismatch
52119,1,2,Mismatch
52120,1,2,Mismatch
52121,1,2,Mismatch
52122,1,2,Mismatch
52123,1,2,Mismatch
52124,1,2,Mismatch
52125,1,2,Mismatch
52126,1,2,Mismatch
