T,,#6464ff
P,False,112181,112561,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF631C8>
T,,#6464ff
P,False,109826,111794,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,111796,112179,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,112181,113445,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,113447,120592,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,120594,121203,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,121205,121370,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,121372,121482,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,121484,122128,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,122130,122333,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,140647,141048,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,141049,141956,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,141959,143379,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,143381,144450,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,144452,146051,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,146053,147334,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,147336,148820,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
P,False,148822,150200,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDF62448>
T,,#6464ff
P,False,109824,110002,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,110003,110182,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,110183,110350,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,110351,110655,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,110657,110968,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,110969,111258,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,111259,111381,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,111383,111792,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,111797,112179,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,112181,112559,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,112562,112905,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,112906,115592,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,115593,115700,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,115703,115826,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,115826,116041,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,116041,116536,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,116537,116589,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,116592,117334,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,117336,117740,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,117742,117849,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,117851,118622,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,118624,119231,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,119232,119671,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,119672,119917,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,119919,120061,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,120062,120456,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,120457,120746,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,120747,122331,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,140647,142733,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,142734,143084,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,143085,143183,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,143185,143642,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,143643,144586,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
P,False,144586,144810,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001EEFDB021C8>
