T,,#6464ff
P,False,28339,28340,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,29950,30318,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,39499,39659,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,40132,41424,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,42716,43780,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,44579,45812,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,48721,50308,drinking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,53633,53763,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,54939,55280,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,80596,80737,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,92660,92807,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,110683,110955,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,112181,112561,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,125230,125621,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,157657,157659,end,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
T,,#6464ff
P,False,28339,33691,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,33692,33789,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,33789,33846,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,33847,33934,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,33935,34181,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,34182,34250,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,34250,34313,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,34314,34860,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,34861,34928,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,34928,34975,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,34976,35044,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,35045,35107,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,35108,35170,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,35171,35294,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
