T,,#6464ff
P,False,28339,28349,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,29950,30318,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,39499,39659,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,40132,41424,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,42716,43780,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,44579,45812,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,48721,50308,drinking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,53633,53763,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,54939,55280,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,80596,80737,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,92660,92807,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,110683,110955,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,112181,112561,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,125230,125621,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
P,False,157657,157667,finish,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB31E3E08>
T,,#6464ff
P,False,28339,33691,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,33692,33789,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,33789,33846,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,33847,33934,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,33935,34181,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,34182,34250,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,34250,34313,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,34314,34860,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,34861,34928,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,34928,34975,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,34976,35044,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35045,35107,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35108,35170,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35171,35294,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35295,35359,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35359,35404,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35404,35489,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35489,35541,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35542,35621,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35622,35681,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35682,35779,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35780,35810,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35811,35909,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35909,35942,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,35943,36021,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36022,36117,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36118,36198,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36199,36452,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36453,36517,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36518,36798,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36799,36981,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,36981,51368,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,51369,51997,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,51998,52133,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,52134,52359,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,52360,52443,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,52444,52569,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,52570,52691,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,52692,52776,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,52777,53074,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,53075,61974,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,61975,62040,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,62041,78529,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,78530,78575,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,78576,78690,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,78691,78748,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,78749,78963,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,78964,79302,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,79302,79390,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,79391,79579,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,79580,79633,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,79634,79743,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,79744,80430,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,80431,80542,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,80543,80617,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,80618,80737,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,80738,80780,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
P,False,80782,80903,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001ADB30E40C8>
