T,,#6464ff
P,False,26101,26109,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,27601,27917,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,33357,33691,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,34023,34289,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,35448,36460,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,36469,37513,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,37958,39195,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,39550,40833,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,41332,42437,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,43151,44385,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,44388,46580,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,47954,48226,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,70953,71238,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,106669,106807,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,112038,112334,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
P,False,140361,140375,finish,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C7708>
T,,#6464ff
P,False,26102,28116,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,28117,28729,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,28730,29307,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,29308,29436,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,29437,32699,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,32699,36743,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,36747,37566,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
P,False,37322,37332,,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000024B0B3C75C8>
