T,,#6464ff
P,False,41419,41420,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,43804,44612,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,44612,44886,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,44886,45301,far from camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,47840,47933,partially hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,48093,48141,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,52998,53061,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,53556,53607,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,54148,54328,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,54475,54566,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,54764,54799,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,55021,55089,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,56194,56522,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,59352,59619,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,87404,87695,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,125306,125515,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,130801,131071,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,133467,134577,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,135208,137895,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,138606,140639,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,140644,141531,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,159185,159186,end,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
T,,#6464ff
P,False,41419,43702,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,43703,43857,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,43857,44813,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,44812,44889,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,44890,45641,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,45641,46531,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,46532,46672,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,46673,46802,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,46803,47570,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,47571,47663,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,47663,47771,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,47771,48620,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,48620,48714,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,48715,49561,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,49561,49706,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,49706,50521,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,50521,50670,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,50669,51478,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,51478,51656,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,51657,52462,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,52463,52613,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,52614,52914,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,52915,53676,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,53677,54149,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,54149,54327,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,54328,54475,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
