Frame,Chorea Label
45641,4
45642,4
45643,4
45644,4
45645,4
45646,4
45647,4
45648,4
45649,4
45650,4
45651,4
45652,4
45653,4
45654,4
45655,4
45656,4
45657,4
45658,4
45659,4
45660,4
45661,4
45662,4
45663,4
45664,4
45665,4
45666,4
45667,4
45668,4
45669,4
45670,4
45671,4
45672,4
45673,4
45674,4
45675,4
45676,4
45677,4
45678,4
45679,4
45680,4
45681,4
45682,4
45683,4
45684,4
45685,4
45686,4
45687,4
45688,4
45689,4
45690,4
45691,4
45692,4
45693,4
45694,4
45695,4
45696,4
45697,4
45698,4
45699,4
45700,4
45701,4
45702,4
45703,4
45704,4
45705,4
45706,4
45707,4
45708,4
45709,4
45710,4
45711,4
45712,4
45713,4
45714,4
45715,4
45716,4
45717,4
45718,4
45719,4
45720,4
45721,4
45722,4
45723,4
45724,4
45725,4
45726,4
45727,4
45728,4
45729,4
45730,4
45731,4
45732,4
45733,4
45734,4
45735,4
45736,4
45737,4
45738,4
45739,4
45740,4
45741,4
45742,4
45743,4
45744,4
45745,4
45746,4
45747,4
45748,4
45749,4
45750,4
45751,4
45752,4
45753,4
45754,4
45755,4
45756,4
45757,4
45758,4
45759,4
45760,4
45761,4
45762,4
45763,4
45764,4
45765,4
45766,4
45767,4
45768,4
45769,4
45770,4
45771,4
45772,4
45773,4
45774,4
45775,4
45776,4
45777,4
45778,4
45779,4
45780,4
45781,4
45782,4
45783,4
45784,4
45785,4
45786,4
45787,4
45788,4
45789,4
45790,4
45791,4
45792,4
45793,4
45794,4
45795,4
45796,4
45797,4
45798,4
45799,4
45800,4
45801,4
45802,4
45803,4
45804,4
45805,4
45806,4
45807,4
45808,4
45809,4
45810,4
45811,4
45812,4
45813,4
45814,4
45815,4
45816,4
45817,4
45818,4
45819,4
45820,4
45821,4
45822,4
45823,4
45824,4
45825,4
45826,4
45827,4
45828,4
45829,4
45830,4
45831,4
45832,4
45833,4
45834,4
45835,4
45836,4
45837,4
45838,4
45839,4
45840,4
45841,4
45842,4
45843,4
45844,4
45845,4
45846,4
45847,4
45848,4
45849,4
45850,4
45851,4
45852,4
45853,4
45854,4
45855,4
45856,4
45857,4
45858,4
45859,4
45860,4
45861,4
45862,-9
45863,-9
45864,-9
45865,-9
45866,-9
45867,-9
45868,-9
45869,-9
45870,-9
45871,-9
45872,-9
45873,-9
45874,-9
45875,-9
45876,-9
45877,-9
45878,-9
45879,-9
45880,-9
45881,-9
45882,-9
45883,-9
45884,-9
45885,-9
45886,-9
45887,-9
45888,-9
45889,-9
45890,-9
45891,-9
45892,-9
45893,-9
45894,-9
45895,-9
45896,-9
45897,-9
45898,-9
45899,-9
45900,-9
45901,-9
45902,-9
45903,-9
45904,-9
45905,-9
45906,-9
45907,-9
45908,-9
45909,-9
45910,-9
45911,-9
45912,-9
45913,-9
45914,-9
45915,-9
45916,-9
45917,-9
45918,-9
45919,-9
45920,-9
45921,-9
45922,-9
45923,-9
45924,-9
45925,-9
45926,-9
45927,-9
45928,-9
45929,-9
45930,-9
45931,-9
45932,-9
45933,-9
45934,-9
45935,-9
45936,-9
45937,-9
45938,-9
45939,-9
45940,-9
45941,-9
45942,-9
45943,-9
45944,-9
45945,-9
45946,-9
45947,-9
45948,-9
45949,-9
45950,-9
45951,-9
45952,-9
45953,-9
45954,-9
45955,-9
45956,-9
45957,-9
45958,-9
45959,-9
45960,-9
45961,-9
45962,-9
45963,-9
45964,-9
45965,-9
45966,-9
45967,-9
45968,-9
45969,-9
45970,-9
45971,-9
45972,-9
45973,-9
45974,-9
45975,-9
45976,-9
45977,-9
45978,-9
45979,-9
45980,-9
45981,-9
45982,-9
45983,-9
45984,-9
45985,-9
45986,-9
45987,-9
45988,-9
45989,-9
45990,-9
45991,-9
45992,-9
45993,-9
45994,-9
45995,-9
45996,-9
45997,-9
45998,-9
45999,-9
46000,-9
46001,-9
46002,-9
46003,-9
46004,-9
46005,-9
46006,-9
46007,-9
46008,-9
46009,-9
46010,-9
46011,-9
46012,-9
46013,-9
46014,-9
46015,-9
46016,-9
46017,-9
46018,-9
46019,-9
46020,-9
46021,-9
46022,-9
46023,-9
46024,-9
46025,-9
46026,-9
46027,-9
46028,-9
46029,-9
46030,-9
46031,-9
46032,-9
46033,-9
46034,-9
46035,-9
46036,-9
46037,-9
46038,-9
46039,-9
46040,-9
46041,-9
46042,-9
46043,-9
46044,-9
46045,-9
46046,-9
46047,-9
46048,-9
46049,-9
46050,-9
46051,-9
46052,-9
46053,-9
46054,-9
46055,-9
46056,-9
46057,-9
46058,-9
46059,-9
46060,-9
46061,-9
46062,-9
46063,-9
46064,-9
46065,-9
46066,-9
46067,-9
46068,-9
46069,-9
46070,-9
46071,-9
46072,-9
46073,-9
46074,-9
46075,-9
46076,-9
46077,-9
46078,-9
46079,-9
46080,-9
46081,-9
46082,-9
46083,-9
46084,-9
46085,-9
46086,-9
46087,-9
46088,-9
46089,-9
46090,-9
46091,-9
46092,-9
46093,-9
46094,-9
46095,-9
46096,-9
46097,-9
46098,-9
46099,-9
46100,-9
46101,-9
46102,-9
46103,-9
46104,-9
46105,-9
46106,-9
46107,-9
46108,-9
46109,-9
