Frame,Chorea Label File 1,Chorea Label File 2,Issue
40061,0,-9,Missing Frame in File 2
40062,0,-9,Missing Frame in File 2
40063,0,-9,Missing Frame in File 2
40064,0,-9,Missing Frame in File 2
40065,0,-9,Missing Frame in File 2
40066,0,-9,Missing Frame in File 2
40067,0,-9,Missing Frame in File 2
40068,0,-9,Missing Frame in File 2
40069,0,-9,Missing Frame in File 2
40070,0,-9,Missing Frame in File 2
40071,0,-9,Missing Frame in File 2
40072,0,1,Mismatch
40073,0,1,Mismatch
40074,0,1,Mismatch
40075,0,1,Mismatch
40076,0,1,Mismatch
40077,0,1,Mismatch
40078,0,1,Mismatch
40079,0,1,Mismatch
40080,0,1,Mismatch
40081,0,1,Mismatch
40082,0,1,Mismatch
40083,0,1,Mismatch
40084,0,1,Mismatch
40085,0,1,Mismatch
40086,0,1,Mismatch
40087,0,1,Mismatch
40088,0,1,Mismatch
40089,0,1,Mismatch
40090,0,1,Mismatch
40159,0,1,Mismatch
40160,0,1,Mismatch
40161,0,1,Mismatch
40162,0,1,Mismatch
40163,0,1,Mismatch
40164,0,1,Mismatch
40165,0,1,Mismatch
40166,0,1,Mismatch
40167,0,1,Mismatch
40168,0,1,Mismatch
40169,0,1,Mismatch
40170,0,1,Mismatch
40171,0,1,Mismatch
40172,0,1,Mismatch
40173,0,1,Mismatch
40174,0,1,Mismatch
40175,0,1,Mismatch
40176,0,1,Mismatch
40177,0,1,Mismatch
40178,0,1,Mismatch
40179,0,1,Mismatch
40180,0,1,Mismatch
40181,0,1,Mismatch
40182,0,1,Mismatch
40183,0,1,Mismatch
40184,0,1,Mismatch
40185,0,1,Mismatch
40186,0,1,Mismatch
40187,0,1,Mismatch
40188,0,1,Mismatch
40189,0,1,Mismatch
40190,0,1,Mismatch
40191,3,1,Mismatch
40192,3,1,Mismatch
40193,3,1,Mismatch
40194,3,1,Mismatch
40195,3,1,Mismatch
40196,3,1,Mismatch
40197,3,1,Mismatch
40198,3,1,Mismatch
40199,3,1,Mismatch
40200,3,1,Mismatch
40201,3,1,Mismatch
40202,3,1,Mismatch
40203,3,1,Mismatch
40204,3,1,Mismatch
40205,3,1,Mismatch
40206,3,1,Mismatch
40207,3,1,Mismatch
40208,3,1,Mismatch
40209,3,1,Mismatch
40210,3,1,Mismatch
40211,3,1,Mismatch
40212,3,1,Mismatch
40213,3,1,Mismatch
40214,3,1,Mismatch
40215,3,1,Mismatch
40216,3,1,Mismatch
40217,3,1,Mismatch
40218,3,1,Mismatch
40219,3,0,Mismatch
40220,3,0,Mismatch
40221,3,0,Mismatch
40222,3,0,Mismatch
40223,3,0,Mismatch
40224,3,0,Mismatch
40225,3,0,Mismatch
40226,3,0,Mismatch
40227,3,0,Mismatch
40228,3,0,Mismatch
40229,3,0,Mismatch
40230,3,0,Mismatch
40231,3,0,Mismatch
40232,3,0,Mismatch
40233,3,0,Mismatch
40234,3,0,Mismatch
40235,3,0,Mismatch
40236,3,0,Mismatch
40237,3,0,Mismatch
40238,3,0,Mismatch
40239,3,0,Mismatch
40240,3,0,Mismatch
40241,3,0,Mismatch
40242,3,0,Mismatch
40243,3,0,Mismatch
40244,3,0,Mismatch
40245,3,0,Mismatch
40246,3,0,Mismatch
40247,3,0,Mismatch
40248,3,0,Mismatch
40249,3,0,Mismatch
40250,3,0,Mismatch
40251,3,0,Mismatch
40252,3,0,Mismatch
40253,3,0,Mismatch
40254,3,0,Mismatch
40255,3,0,Mismatch
40256,3,0,Mismatch
40257,3,0,Mismatch
40258,3,0,Mismatch
40259,3,0,Mismatch
40260,3,0,Mismatch
40261,3,0,Mismatch
40262,3,0,Mismatch
40263,3,0,Mismatch
40264,3,0,Mismatch
40265,3,0,Mismatch
40266,3,0,Mismatch
40282,3,-9,Mismatch
40283,3,-9,Mismatch
40284,3,-9,Mismatch
40285,3,-9,Mismatch
40286,3,-9,Mismatch
40287,3,-9,Mismatch
40288,3,-9,Mismatch
40289,3,-9,Mismatch
40290,3,-9,Mismatch
40291,3,-9,Mismatch
40292,3,-9,Mismatch
40293,3,-9,Mismatch
40294,3,-9,Mismatch
40295,3,-9,Mismatch
40296,3,-9,Mismatch
40297,3,-9,Mismatch
40298,3,-9,Mismatch
40299,3,-9,Mismatch
40300,3,-9,Mismatch
40301,3,-9,Mismatch
40302,3,-9,Mismatch
40303,3,-9,Mismatch
40304,3,-9,Mismatch
40305,3,-9,Mismatch
40306,3,-9,Mismatch
40307,3,-9,Mismatch
40308,3,-9,Mismatch
40309,3,-9,Mismatch
40310,3,-9,Mismatch
40311,3,-9,Mismatch
40312,3,-9,Mismatch
40313,3,-9,Mismatch
40314,3,-9,Mismatch
40315,3,-9,Mismatch
40316,3,-9,Mismatch
40317,3,-9,Mismatch
40318,3,-9,Mismatch
40319,3,-9,Mismatch
40320,3,-9,Mismatch
40321,3,-9,Mismatch
40322,3,-9,Mismatch
40323,3,-9,Mismatch
40324,3,-9,Mismatch
40325,3,-9,Mismatch
40326,3,-9,Mismatch
40327,3,-9,Mismatch
40328,3,-9,Mismatch
40329,3,-9,Mismatch
40330,3,-9,Mismatch
40331,3,-9,Mismatch
40332,3,-9,Mismatch
40333,3,-9,Mismatch
40334,3,-9,Mismatch
40335,3,-9,Mismatch
40336,3,-9,Mismatch
40337,3,-9,Mismatch
40338,3,-9,Mismatch
40339,3,-9,Mismatch
40340,3,-9,Mismatch
40341,3,-9,Mismatch
40342,3,-9,Mismatch
40343,3,-9,Mismatch
40344,3,-9,Mismatch
40345,3,-9,Mismatch
40346,3,-9,Mismatch
40347,3,-9,Mismatch
40348,3,-9,Mismatch
40349,3,-9,Mismatch
40350,3,-9,Mismatch
40351,3,-9,Mismatch
40352,3,-9,Mismatch
40353,3,-9,Mismatch
40354,3,-9,Mismatch
40355,3,-9,Mismatch
40356,3,-9,Mismatch
40357,3,-9,Mismatch
40358,3,-9,Mismatch
40359,3,-9,Mismatch
40360,3,-9,Mismatch
40361,3,-9,Mismatch
40362,3,-9,Mismatch
40363,3,-9,Mismatch
40364,3,-9,Mismatch
40365,3,-9,Mismatch
40366,3,-9,Mismatch
40367,3,-9,Mismatch
40368,3,-9,Mismatch
40369,3,-9,Mismatch
40370,3,-9,Mismatch
40371,3,-9,Mismatch
40372,3,-9,Mismatch
40373,3,-9,Mismatch
40374,3,-9,Mismatch
40375,3,-9,Mismatch
40376,3,-9,Mismatch
40377,3,-9,Mismatch
40378,3,-9,Mismatch
40379,3,-9,Mismatch
40380,3,-9,Mismatch
40381,3,-9,Mismatch
40382,3,-9,Mismatch
40383,3,-9,Mismatch
40384,3,-9,Mismatch
40385,3,-9,Mismatch
40386,3,-9,Mismatch
40387,3,-9,Mismatch
40388,3,-9,Mismatch
40389,3,-9,Mismatch
40390,3,-9,Mismatch
40391,3,-9,Mismatch
40392,3,-9,Mismatch
40393,3,-9,Mismatch
40394,3,-9,Mismatch
40395,3,-9,Mismatch
40396,3,-9,Mismatch
40397,3,-9,Mismatch
40398,3,-9,Mismatch
40399,3,-9,Mismatch
40400,3,-9,Mismatch
40401,3,-9,Mismatch
40402,3,-9,Mismatch
40403,3,-9,Mismatch
40404,3,-9,Mismatch
40405,3,-9,Mismatch
40406,3,-9,Mismatch
40407,3,-9,Mismatch
40408,3,-9,Mismatch
40409,3,-9,Mismatch
40410,3,-9,Mismatch
40411,3,-9,Mismatch
40412,3,-9,Mismatch
40413,3,-9,Mismatch
40414,3,-9,Mismatch
40415,3,-9,Mismatch
40416,3,-9,Mismatch
40417,3,-9,Mismatch
40418,3,-9,Mismatch
40419,3,-9,Mismatch
40420,3,-9,Mismatch
40421,3,-9,Mismatch
40422,3,-9,Mismatch
40423,3,-9,Mismatch
40424,3,-9,Mismatch
40425,3,-9,Mismatch
40426,3,-9,Mismatch
40427,3,-9,Mismatch
40428,3,-9,Mismatch
40429,3,-9,Mismatch
40430,3,-9,Mismatch
40431,3,-9,Mismatch
40432,3,-9,Mismatch
40433,3,-9,Mismatch
40434,3,-9,Mismatch
40435,3,-9,Mismatch
40436,3,-9,Mismatch
40437,3,-9,Mismatch
40438,3,-9,Mismatch
40439,3,-9,Mismatch
40440,3,-9,Mismatch
