T,,#6464ff
P,False,36677,36705,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,37049,37122,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,37327,37403,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,40328,40999,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,41602,42264,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,42836,43633,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,44073,44798,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,45269,46005,far from camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,46403,46899,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,48233,48451,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,48510,48745,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,48797,48970,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,49042,49099,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,49435,50457,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,50551,50630,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,51210,51342,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,52822,52948,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,53745,53830,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,58577,58625,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,59312,59348,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,60225,60839,??????,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,68373,68412,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,71913,71983,20 mins mark,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,72235,72402,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,73183,73297,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,73368,73593,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,76150,76197,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,78976,79023,lights off,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,107893,107908,30 mins tag,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,114132,114157,lights off,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,128047,129044,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,129334,129622,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,129758,130942,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,131039,131151,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,131661,131806,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,133038,133093,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,133427,133741,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,135920,136002,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,137262,137384,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,139638,140683,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,143805,145054,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,146440,147305,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,147598,148188,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,156414,156500,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
P,False,176913,177384,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA790D2C48>
T,,#6464ff
P,False,36677,40071,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,40072,40684,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,40685,40787,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,40788,41313,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,41314,41377,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,41378,41918,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,41919,42005,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,42006,42557,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,42558,42617,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,42618,43182,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,43183,43250,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,43251,43788,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,43789,43851,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,43852,44343,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,44344,44421,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,44422,44948,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,44949,45032,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,45033,45527,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,45528,45614,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,45615,46131,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,46132,46212,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,46212,46767,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,46768,46843,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,46844,47317,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,47318,47899,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,47900,47967,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,47968,48007,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48009,48232,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48233,48451,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48452,48509,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48510,48745,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48746,48796,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48797,48962,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,48963,50488,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50489,50542,adjusting ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50543,50731,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50732,50787,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50788,50838,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50839,50900,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50901,50968,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50969,50997,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,50998,51070,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,51071,56630,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,56631,56696,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,56697,56749,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,56750,56823,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,56824,56912,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,56913,56960,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,56961,57017,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57018,57097,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57098,57651,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57652,57714,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57715,57730,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57731,57785,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57787,57809,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57810,57862,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57863,57939,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,57940,58002,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58002,58070,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58071,58132,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58133,58194,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58193,58243,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58243,58258,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58259,58334,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58333,58992,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,58994,59075,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59076,59133,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59134,59263,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59264,59315,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59316,59421,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59422,59514,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59515,59557,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59558,59648,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59649,59842,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,59843,60108,going forward with chair?,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,60108,72589,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,72590,72806,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,72807,72968,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,72969,73044,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73045,73087,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73088,73157,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73158,73287,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73288,73360,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73361,73421,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73422,73593,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73594,73660,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,73661,75914,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,75915,76041,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,76042,76284,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,76285,76409,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,76410,76970,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,76971,77034,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,77035,93076,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93077,93204,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
P,False,93205,93227,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CA73412148>
