T,,#6464ff
P,False,36683,36688,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,37597,37748,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,38156,38590,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,51926,52111,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,52442,52965,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,62377,63993,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,64854,65989,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,66705,67806,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,70641,71778,drinking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,80186,80608,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,126318,126962,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,134895,135353,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,140446,140572,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
P,False,168070,168074,stop,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027F48>
T,,#6464ff
P,False,36679,40060,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,40061,40677,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,40678,40773,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,40774,41313,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,41314,41403,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,41404,41925,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,41926,41995,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,41996,42552,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,42553,42633,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,42634,43178,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,43179,43269,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,43270,43795,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,43796,43854,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,43855,44344,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,44345,44420,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,44421,44958,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,44959,45035,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,45036,45550,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,45552,45618,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,45619,46154,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,46155,46209,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,46210,46770,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,46771,46845,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,46846,47317,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,47319,47920,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,47921,48017,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,48018,48228,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,48229,48982,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,48983,49837,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,49838,50591,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,50592,50727,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,50728,50788,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,50789,50833,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,50835,51004,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,51006,51066,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,51067,56633,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,56635,56693,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,56694,56749,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,56750,56819,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,56821,56909,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,56911,56964,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,56965,57002,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57004,57098,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57100,57623,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57625,57726,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57728,57801,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57803,57868,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57870,57943,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,57945,57999,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58002,58072,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58073,58134,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58135,58196,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58198,58258,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58260,58335,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58337,58996,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,58997,59080,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59081,59151,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59151,59273,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59275,59335,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59336,59430,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59431,59504,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59505,59562,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59564,59670,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,59674,72534,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,72533,72797,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,72798,73099,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,73100,73247,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,73247,73306,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
P,False,73307,73366,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B4B8027488>
