T,,#6464ff
P,False,36683,36688,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,37597,37748,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,38156,38590,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,51926,52111,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,52442,52965,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,62377,63993,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,64854,65989,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,66705,67806,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,70641,71778,drinking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,80186,80608,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,126318,126962,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,134895,135353,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,140446,140572,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,168070,168074,stop,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
T,,#6464ff
P,False,36679,40060,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,40061,40677,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,40678,40773,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,40774,41313,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,41314,41402,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,41404,41925,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,41926,41995,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,41996,42552,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,42553,42633,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,42634,43178,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,43179,43269,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,43270,43795,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,43796,43854,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,43855,44344,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,44345,44420,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,44421,44958,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,44959,45035,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,45036,45550,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,45552,45618,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,45619,46154,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,46155,46209,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,46210,46770,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,46771,46845,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,46846,47317,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,47319,47920,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,47922,47998,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,48000,48228,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,48229,48982,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,48983,49837,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
