Frame,Chorea Label File 1,Chorea Label File 2,Issue
77872,1,0,Mismatch
77873,1,0,Mismatch
77874,1,0,Mismatch
77875,1,0,Mismatch
77876,1,0,Mismatch
77877,1,0,Mismatch
77878,1,0,Mismatch
77879,1,0,Mismatch
77880,1,0,Mismatch
77881,1,0,Mismatch
77882,1,0,Mismatch
77883,1,0,Mismatch
77884,1,0,Mismatch
77885,1,0,Mismatch
78031,-9,0,Mismatch
78032,-9,0,Mismatch
78033,-9,0,Mismatch
78034,-9,0,Mismatch
78035,-9,0,Mismatch
78036,-9,0,Mismatch
78037,-9,0,Mismatch
78038,-9,0,Mismatch
78039,-9,0,Mismatch
78040,-9,0,Mismatch
78041,-9,0,Mismatch
78042,-9,0,Mismatch
78043,-9,0,Mismatch
78044,-9,0,Mismatch
78045,-9,0,Mismatch
78046,-9,0,Mismatch
78047,-9,0,Mismatch
78048,-9,0,Mismatch
78049,-9,0,Mismatch
78050,-9,0,Mismatch
78051,-9,0,Mismatch
78052,-9,0,Mismatch
78053,-9,0,Mismatch
78054,-9,0,Mismatch
78055,-9,0,Mismatch
78056,-9,0,Mismatch
78057,-9,0,Mismatch
78058,-9,0,Mismatch
78059,-9,0,Mismatch
78060,-9,0,Mismatch
78061,-9,0,Mismatch
78062,-9,0,Mismatch
78063,-9,0,Mismatch
78064,-9,0,Mismatch
78065,-9,0,Mismatch
78066,-9,0,Mismatch
78067,-9,0,Mismatch
78068,-9,0,Mismatch
78069,-9,0,Mismatch
78070,-9,0,Mismatch
78071,-9,0,Mismatch
78072,-9,0,Mismatch
78073,-9,0,Mismatch
78074,-9,0,Mismatch
78075,-9,0,Mismatch
78076,-9,0,Mismatch
78077,-9,0,Mismatch
78078,-9,0,Mismatch
78079,-9,0,Mismatch
78080,-9,0,Mismatch
78081,-9,0,Mismatch
78082,-9,0,Mismatch
78083,-9,0,Mismatch
78084,-9,0,Mismatch
78085,-9,0,Mismatch
78086,-9,0,Mismatch
78087,-9,0,Mismatch
78088,-9,0,Mismatch
78089,-9,0,Mismatch
78090,-9,0,Mismatch
78091,-9,0,Mismatch
78092,-9,0,Mismatch
78093,-9,0,Mismatch
78094,-9,0,Mismatch
78095,-9,0,Mismatch
78096,-9,0,Mismatch
78240,-9,-9,Missing Frame in File 1
78241,-9,-9,Missing Frame in File 1
78242,-9,-9,Missing Frame in File 1
78243,-9,-9,Missing Frame in File 1
78244,-9,-9,Missing Frame in File 1
78245,-9,-9,Missing Frame in File 1
78246,-9,-9,Missing Frame in File 1
78247,-9,-9,Missing Frame in File 1
78248,-9,-9,Missing Frame in File 1
78249,-9,-9,Missing Frame in File 1
78250,-9,-9,Missing Frame in File 1
78251,-9,-9,Missing Frame in File 1
78252,-9,-9,Missing Frame in File 1
78253,-9,-9,Missing Frame in File 1
78254,-9,-9,Missing Frame in File 1
78255,-9,-9,Missing Frame in File 1
78256,-9,-9,Missing Frame in File 1
78257,-9,-9,Missing Frame in File 1
78258,-9,-9,Missing Frame in File 1
78259,-9,-9,Missing Frame in File 1
78260,-9,-9,Missing Frame in File 1
78261,-9,-9,Missing Frame in File 1
78262,-9,-9,Missing Frame in File 1
78263,-9,-9,Missing Frame in File 1
78264,-9,-9,Missing Frame in File 1
78265,-9,-9,Missing Frame in File 1
78266,-9,-9,Missing Frame in File 1
78267,-9,-9,Missing Frame in File 1
78268,-9,-9,Missing Frame in File 1
78269,-9,-9,Missing Frame in File 1
78270,-9,-9,Missing Frame in File 1
78271,-9,-9,Missing Frame in File 1
78272,-9,-9,Missing Frame in File 1
78273,-9,-9,Missing Frame in File 1
78274,-9,-9,Missing Frame in File 1
78275,-9,-9,Missing Frame in File 1
78276,-9,-9,Missing Frame in File 1
78277,-9,-9,Missing Frame in File 1
78278,-9,-9,Missing Frame in File 1
78279,-9,-9,Missing Frame in File 1
78280,-9,-9,Missing Frame in File 1
78281,-9,-9,Missing Frame in File 1
78282,-9,-9,Missing Frame in File 1
78283,-9,-9,Missing Frame in File 1
78284,-9,-9,Missing Frame in File 1
78285,-9,-9,Missing Frame in File 1
78286,-9,-9,Missing Frame in File 1
78287,-9,-9,Missing Frame in File 1
78288,-9,-9,Missing Frame in File 1
78289,-9,-9,Missing Frame in File 1
78290,-9,-9,Missing Frame in File 1
78291,-9,-9,Missing Frame in File 1
78292,-9,-9,Missing Frame in File 1
78293,-9,-9,Missing Frame in File 1
78294,-9,-9,Missing Frame in File 1
78295,-9,-9,Missing Frame in File 1
78296,-9,-9,Missing Frame in File 1
78297,-9,-9,Missing Frame in File 1
78421,0,-9,Mismatch
78422,0,-9,Mismatch
78423,0,-9,Mismatch
78424,0,-9,Mismatch
78425,0,-9,Mismatch
78426,0,-9,Mismatch
78427,0,-9,Mismatch
78428,0,-9,Mismatch
78429,0,-9,Mismatch
78430,0,-9,Mismatch
78431,0,-9,Mismatch
78432,0,-9,Mismatch
78433,0,-9,Mismatch
78434,0,-9,Mismatch
78435,0,-9,Mismatch
78436,0,-9,Mismatch
78437,0,-9,Mismatch
78438,0,-9,Mismatch
78439,0,-9,Mismatch
78440,0,-9,Mismatch
78441,0,-9,Mismatch
78442,0,-9,Mismatch
78443,0,-9,Mismatch
78444,0,-9,Mismatch
78445,0,-9,Mismatch
78446,0,-9,Mismatch
78447,0,-9,Mismatch
78448,0,-9,Mismatch
78449,0,-9,Mismatch
78450,0,-9,Mismatch
78451,0,-9,Mismatch
78452,0,-9,Mismatch
78453,0,-9,Mismatch
78454,0,-9,Mismatch
78455,0,-9,Mismatch
78456,0,-9,Mismatch
78457,0,-9,Mismatch
78458,0,-9,Mismatch
78459,0,-9,Mismatch
78460,0,-9,Mismatch
78461,0,-9,Mismatch
78462,0,-9,Mismatch
78463,0,-9,Mismatch
78464,0,-9,Mismatch
78465,0,-9,Mismatch
78466,0,-9,Mismatch
78467,0,-9,Mismatch
78468,0,-9,Mismatch
78469,0,-9,Mismatch
78470,0,-9,Mismatch
78471,0,-9,Mismatch
78472,0,-9,Mismatch
78473,0,-9,Mismatch
78474,0,-9,Mismatch
78475,0,-9,Mismatch
78476,0,-9,Mismatch
78477,0,-9,Mismatch
78478,0,-9,Mismatch
78479,0,-9,Mismatch
78480,0,-9,Mismatch
78481,0,-9,Mismatch
78482,0,-9,Mismatch
78483,0,-9,Mismatch
78484,0,-9,Mismatch
78485,0,-9,Mismatch
78486,0,-9,Mismatch
78487,0,-9,Mismatch
78488,0,-9,Mismatch
78489,0,-9,Mismatch
78490,0,-9,Mismatch
78491,0,-9,Mismatch
78492,0,-9,Mismatch
78493,0,-9,Mismatch
78494,0,-9,Mismatch
78495,0,-9,Mismatch
78496,0,-9,Mismatch
78497,0,-9,Mismatch
78498,0,-9,Mismatch
78499,0,-9,Mismatch
78500,0,-9,Mismatch
78501,0,-9,Mismatch
78502,0,-9,Mismatch
78503,0,-9,Mismatch
78504,0,-9,Mismatch
78505,0,-9,Mismatch
78506,0,-9,Mismatch
78507,0,-9,Mismatch
78508,0,-9,Mismatch
78509,0,-9,Mismatch
78510,0,-9,Mismatch
78511,0,-9,Mismatch
78512,0,-9,Mismatch
78513,0,-9,Mismatch
78514,0,-9,Mismatch
78515,0,-9,Mismatch
78516,0,-9,Mismatch
78517,0,-9,Mismatch
78518,0,-9,Mismatch
78519,0,-9,Mismatch
78520,0,-9,Mismatch
78521,0,-9,Mismatch
78522,0,-9,Mismatch
78523,0,-9,Mismatch
78524,0,-9,Mismatch
78525,0,-9,Mismatch
78526,0,-9,Mismatch
78527,0,-9,Mismatch
78528,0,-9,Mismatch
78529,0,-9,Mismatch
78530,0,-9,Mismatch
78531,0,-9,Mismatch
78532,0,-9,Mismatch
78533,0,-9,Mismatch
78534,0,-9,Mismatch
78535,0,-9,Mismatch
78536,0,-9,Mismatch
78537,0,-9,Mismatch
78538,0,-9,Mismatch
78539,0,-9,Mismatch
78540,0,-9,Mismatch
78541,0,-9,Mismatch
78542,0,-9,Mismatch
78543,0,-9,Mismatch
78544,0,-9,Mismatch
78545,0,-9,Mismatch
78546,0,-9,Mismatch
78547,0,-9,Mismatch
78548,0,-9,Mismatch
78549,0,-9,Mismatch
78550,0,-9,Mismatch
78551,0,-9,Mismatch
78552,0,-9,Mismatch
78553,0,-9,Mismatch
78554,0,-9,Mismatch
78555,0,-9,Mismatch
78556,0,-9,Mismatch
78557,0,-9,Mismatch
78558,0,-9,Mismatch
78559,0,-9,Mismatch
78560,0,-9,Mismatch
78561,0,-9,Mismatch
78562,0,-9,Mismatch
78563,0,-9,Mismatch
78564,0,-9,Mismatch
78565,0,-9,Mismatch
78566,0,-9,Mismatch
78567,0,-9,Mismatch
78568,0,-9,Mismatch
78569,0,-9,Mismatch
78570,0,-9,Mismatch
78571,0,-9,Mismatch
78572,0,-9,Mismatch
78573,0,-9,Mismatch
78574,0,-9,Mismatch
78575,0,-9,Mismatch
78576,0,-9,Mismatch
78876,-9,0,Missing Frame in File 1
78877,-9,0,Missing Frame in File 1
78878,-9,0,Missing Frame in File 1
78879,-9,0,Missing Frame in File 1
78880,-9,0,Missing Frame in File 1
78881,-9,0,Missing Frame in File 1
78882,-9,0,Missing Frame in File 1
78883,-9,0,Missing Frame in File 1
78884,-9,0,Missing Frame in File 1
78885,-9,0,Missing Frame in File 1
78886,-9,0,Missing Frame in File 1
78887,-9,0,Missing Frame in File 1
78888,-9,0,Missing Frame in File 1
78889,-9,0,Missing Frame in File 1
78890,-9,0,Missing Frame in File 1
78891,-9,0,Missing Frame in File 1
78892,-9,0,Missing Frame in File 1
78893,-9,0,Missing Frame in File 1
78894,-9,0,Missing Frame in File 1
78895,-9,0,Missing Frame in File 1
78896,-9,0,Missing Frame in File 1
78897,-9,0,Missing Frame in File 1
78898,-9,0,Missing Frame in File 1
78899,-9,0,Missing Frame in File 1
78900,-9,0,Missing Frame in File 1
78901,-9,0,Missing Frame in File 1
78902,-9,0,Missing Frame in File 1
78903,-9,0,Missing Frame in File 1
78904,-9,0,Missing Frame in File 1
78905,-9,0,Missing Frame in File 1
78906,-9,0,Missing Frame in File 1
78907,-9,0,Missing Frame in File 1
78908,-9,0,Missing Frame in File 1
78909,-9,0,Missing Frame in File 1
78910,-9,0,Missing Frame in File 1
78911,-9,0,Missing Frame in File 1
78912,-9,0,Missing Frame in File 1
78913,-9,0,Missing Frame in File 1
78914,-9,0,Missing Frame in File 1
78915,-9,0,Missing Frame in File 1
78916,-9,0,Missing Frame in File 1
78917,-9,0,Missing Frame in File 1
78918,-9,0,Missing Frame in File 1
78919,-9,0,Missing Frame in File 1
78920,-9,0,Missing Frame in File 1
78921,-9,0,Missing Frame in File 1
78922,-9,0,Missing Frame in File 1
78923,-9,0,Missing Frame in File 1
78924,-9,0,Missing Frame in File 1
78925,-9,0,Missing Frame in File 1
78926,-9,0,Missing Frame in File 1
78927,-9,0,Missing Frame in File 1
78928,-9,0,Missing Frame in File 1
78929,-9,0,Missing Frame in File 1
78930,-9,0,Missing Frame in File 1
78931,-9,0,Missing Frame in File 1
78932,-9,0,Missing Frame in File 1
78933,-9,0,Missing Frame in File 1
78934,-9,0,Missing Frame in File 1
78935,-9,0,Missing Frame in File 1
78936,-9,0,Missing Frame in File 1
79030,1,0,Mismatch
79031,1,0,Mismatch
79032,1,0,Mismatch
79033,1,0,Mismatch
79034,1,0,Mismatch
79035,1,0,Mismatch
79036,1,0,Mismatch
79037,1,0,Mismatch
79038,1,0,Mismatch
79039,1,0,Mismatch
79040,1,0,Mismatch
79041,1,0,Mismatch
79042,1,0,Mismatch
79043,1,0,Mismatch
79044,1,0,Mismatch
79045,1,0,Mismatch
79046,1,0,Mismatch
79047,1,0,Mismatch
79048,1,0,Mismatch
79049,1,0,Mismatch
79050,1,0,Mismatch
79207,0,-9,Mismatch
79208,0,-9,Mismatch
79209,0,-9,Mismatch
79210,0,-9,Mismatch
79211,0,-9,Mismatch
79212,0,-9,Mismatch
79213,0,-9,Mismatch
79214,0,-9,Mismatch
79215,0,-9,Mismatch
79216,0,-9,Mismatch
79217,0,-9,Mismatch
79218,0,-9,Mismatch
79219,0,-9,Mismatch
79220,0,-9,Mismatch
79221,0,-9,Mismatch
79222,0,-9,Mismatch
79223,0,-9,Mismatch
79224,0,-9,Mismatch
79225,0,-9,Mismatch
79226,0,-9,Mismatch
79227,0,-9,Mismatch
79228,0,-9,Mismatch
79229,0,-9,Mismatch
79230,0,-9,Mismatch
79231,0,-9,Mismatch
79232,0,-9,Mismatch
79233,0,-9,Mismatch
79234,0,-9,Mismatch
79235,0,-9,Mismatch
79236,0,-9,Mismatch
79237,0,-9,Mismatch
79238,0,-9,Mismatch
79239,0,-9,Mismatch
79240,0,-9,Mismatch
79241,0,-9,Mismatch
79242,0,-9,Mismatch
79243,0,-9,Mismatch
79244,0,-9,Mismatch
79245,0,-9,Mismatch
79246,0,-9,Mismatch
79247,0,-9,Mismatch
79248,0,-9,Mismatch
79249,0,-9,Mismatch
79250,0,-9,Mismatch
79251,0,-9,Mismatch
79252,0,-9,Mismatch
79253,0,-9,Mismatch
79254,0,-9,Mismatch
79255,0,-9,Mismatch
79256,0,-9,Mismatch
79257,0,-9,Mismatch
79258,0,-9,Mismatch
79259,0,-9,Mismatch
79260,0,-9,Mismatch
79261,0,-9,Mismatch
79262,0,-9,Mismatch
79263,0,-9,Mismatch
79264,0,-9,Mismatch
79265,0,-9,Mismatch
79266,0,-9,Mismatch
79267,0,-9,Mismatch
79519,-9,-9,Missing Frame in File 1
79520,-9,-9,Missing Frame in File 1
79521,-9,-9,Missing Frame in File 1
79522,-9,-9,Missing Frame in File 1
79523,-9,-9,Missing Frame in File 1
79524,-9,-9,Missing Frame in File 1
79525,-9,-9,Missing Frame in File 1
79526,-9,-9,Missing Frame in File 1
79527,-9,-9,Missing Frame in File 1
79528,-9,-9,Missing Frame in File 1
79529,-9,-9,Missing Frame in File 1
79530,-9,-9,Missing Frame in File 1
79531,-9,-9,Missing Frame in File 1
79532,-9,-9,Missing Frame in File 1
79533,-9,-9,Missing Frame in File 1
79534,-9,-9,Missing Frame in File 1
79535,-9,-9,Missing Frame in File 1
79536,-9,-9,Missing Frame in File 1
79537,-9,-9,Missing Frame in File 1
79538,-9,-9,Missing Frame in File 1
79539,-9,-9,Missing Frame in File 1
79540,-9,-9,Missing Frame in File 1
79541,-9,-9,Missing Frame in File 1
79542,-9,-9,Missing Frame in File 1
79543,-9,-9,Missing Frame in File 1
79544,-9,-9,Missing Frame in File 1
79545,-9,-9,Missing Frame in File 1
79546,-9,-9,Missing Frame in File 1
79547,-9,-9,Missing Frame in File 1
79548,-9,-9,Missing Frame in File 1
79549,-9,-9,Missing Frame in File 1
79550,-9,-9,Missing Frame in File 1
79551,-9,-9,Missing Frame in File 1
79552,-9,-9,Missing Frame in File 1
79553,-9,-9,Missing Frame in File 1
79554,-9,-9,Missing Frame in File 1
79555,-9,-9,Missing Frame in File 1
79556,-9,-9,Missing Frame in File 1
79557,-9,-9,Missing Frame in File 1
79558,-9,-9,Missing Frame in File 1
79559,-9,-9,Missing Frame in File 1
79560,-9,-9,Missing Frame in File 1
79561,-9,-9,Missing Frame in File 1
79562,-9,-9,Missing Frame in File 1
79563,-9,-9,Missing Frame in File 1
79564,-9,-9,Missing Frame in File 1
79565,-9,-9,Missing Frame in File 1
79566,-9,-9,Missing Frame in File 1
79567,-9,-9,Missing Frame in File 1
79568,-9,-9,Missing Frame in File 1
79569,-9,-9,Missing Frame in File 1
79570,-9,-9,Missing Frame in File 1
79571,-9,-9,Missing Frame in File 1
79572,-9,-9,Missing Frame in File 1
79573,-9,-9,Missing Frame in File 1
79574,-9,-9,Missing Frame in File 1
79575,-9,-9,Missing Frame in File 1
79576,-9,-9,Missing Frame in File 1
79577,-9,-9,Missing Frame in File 1
79578,-9,-9,Missing Frame in File 1
79579,-9,-9,Missing Frame in File 1
79580,-9,-9,Missing Frame in File 1
79581,-9,-9,Missing Frame in File 1
79582,-9,-9,Missing Frame in File 1
79583,-9,-9,Missing Frame in File 1
79584,-9,-9,Missing Frame in File 1
79585,-9,-9,Missing Frame in File 1
79586,-9,-9,Missing Frame in File 1
79587,-9,-9,Missing Frame in File 1
79588,-9,-9,Missing Frame in File 1
79589,-9,-9,Missing Frame in File 1
79590,-9,-9,Missing Frame in File 1
79591,-9,-9,Missing Frame in File 1
79592,-9,-9,Missing Frame in File 1
79593,-9,-9,Missing Frame in File 1
79594,-9,-9,Missing Frame in File 1
79595,-9,-9,Missing Frame in File 1
79596,-9,-9,Missing Frame in File 1
79597,-9,-9,Missing Frame in File 1
79598,-9,-9,Missing Frame in File 1
