T,,#6464ff
P,False,64043,64044,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,64193,64297,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,65023,65833,partially hided + camera moving,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,65834,66301,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,67593,67636,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,68366,68514,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,68855,68895,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,69543,69582,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,69611,69647,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,69935,69969,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,70660,72680,right hand hidden,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,73017,73407,right hand hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,77999,78475,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,79269,79724,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,80539,81100,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,81941,82400,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,83299,83835,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,85807,86478,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,87079,87223,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,87587,87631,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,89066,89132,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,94150,94344,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,100590,100810,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,112851,113230,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,113404,113462,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,161047,161091,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,161572,161646,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
P,False,163804,163842,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001B489117668>
