T,,#6464ff
P,False,70115,70123,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,72672,73020,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,89160,89285,moving hands up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,89810,90162,clapping hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,102562,104033,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,162692,162869,bending,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,171423,171638,holding hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,171639,171833,moving hands voluntarly,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,171834,172106,holding hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,173122,174986,holding hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
P,False,186828,187228,moving hand voluntarly,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEBC388>
T,,#6464ff
P,False,70115,77606,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,True,70408,70409,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,77606,78239,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,78240,78297,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,78298,78875,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,78876,78936,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,78937,79518,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,79519,79609,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,79610,80144,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,80144,80246,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,80247,80850,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,80851,80966,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,80967,81552,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,81553,81635,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,81635,82225,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,82226,82314,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,82315,82927,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,82928,83007,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,83008,83568,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,83568,83672,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,83673,84224,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
P,False,84225,84310,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000019B6AEE6208>
