T,,#6464ff
P,False,20800,20801,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,21231,22240,right hand hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,22241,22977,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,23177,23570,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,23569,23721,right hand hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,23722,24740,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,26416,27052,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,38666,39904,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,40130,40186,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,40776,40886,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,41439,41859,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,42879,42959,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,49809,49880,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,50559,50906,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,51337,51380,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,52165,52234,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,56720,56918,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,61309,62100,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,62100,62172,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,62172,62345,partially hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,62345,62387,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,66612,66652,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,68259,68308,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,74219,74259,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,74347,74368,lights off,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
