Frame,Chorea Label
22080,-9
22081,-9
22082,-9
22083,-9
22084,-9
22085,-9
22086,-9
22087,-9
22088,-9
22089,-9
22090,-9
22091,-9
22092,-9
22093,-9
22094,-9
22095,-9
22096,-9
22097,-9
22098,-9
22099,-9
22100,-9
22101,-9
22102,-9
22103,-9
22104,-9
22105,-9
22106,-9
22107,-9
22108,-9
22109,-9
22110,-9
22111,-9
22112,-9
22113,-9
22114,-9
22115,-9
22116,-9
22117,-9
22118,-9
22119,-9
22120,-9
22121,-9
22122,-9
22123,-9
22124,-9
22125,-9
22126,-9
22127,-9
22128,-9
22129,-9
22130,-9
22131,-9
22132,-9
22133,-9
22134,-9
22135,-9
22136,-9
22137,-9
22138,-9
22139,-9
22140,-9
22141,-9
22142,-9
22143,-9
22144,-9
22145,-9
22146,-9
22147,-9
22148,-9
22149,-9
22150,-9
22151,-9
22152,-9
22153,-9
22154,-9
22155,-9
22156,-9
22157,-9
22158,-9
22159,-9
22160,-9
22161,-9
22162,-9
22163,-9
22164,-9
22165,-9
22166,-9
22167,-9
22168,-9
22169,-9
22170,-9
22171,-9
22172,-9
22173,-9
22174,-9
22175,3
22176,3
22177,3
22178,3
22179,3
22180,3
22181,3
22182,3
22183,3
22184,3
22185,3
22186,3
22187,3
22188,3
22189,3
22190,3
22191,3
22192,3
22193,3
22194,3
22195,3
22196,3
22197,3
22198,3
22199,3
22200,3
22201,3
22202,3
22203,3
22204,3
22205,3
22206,3
22207,3
22208,3
22209,3
22210,3
22211,3
22212,3
22213,3
22214,3
22215,3
22216,3
22217,3
22218,3
22219,3
22220,-9
22221,-9
22222,-9
22223,-9
22224,-9
22225,-9
22226,-9
22227,-9
22228,-9
22229,-9
22230,-9
22231,-9
22232,-9
22233,-9
22234,-9
22235,-9
22236,-9
22237,-9
22238,-9
22239,-9
22240,-9
22241,-9
22242,-9
22243,-9
22244,-9
22245,-9
22246,-9
22247,-9
22248,-9
22249,-9
22250,-9
22251,-9
22252,-9
22253,-9
22254,-9
22255,-9
22256,-9
22257,-9
22258,-9
22259,-9
22260,-9
22261,-9
22262,-9
22263,-9
22264,-9
22265,-9
22266,-9
22267,-9
22268,-9
26111,-9
26112,-9
26113,-9
26114,-9
26115,-9
26116,-9
26117,-9
26118,-9
26119,-9
26120,-9
26121,-9
26122,-9
26123,-9
26124,-9
26125,-9
26126,-9
26127,-9
26128,-9
26129,-9
26130,-9
26131,-9
26132,-9
26133,-9
26134,-9
26135,-9
26136,-9
26137,-9
26138,-9
26139,0
26140,0
26141,0
26142,0
26143,0
26144,0
26145,0
26146,0
26147,0
26148,0
26149,0
26150,0
26151,0
26152,0
26153,0
26154,0
26155,0
26156,0
26157,0
26158,0
26159,0
26160,0
26161,0
26162,0
26163,0
26164,0
26165,0
26166,0
26167,0
26168,0
26169,0
26170,0
26171,0
26172,0
26173,0
26174,0
26175,0
26176,0
26177,0
26178,0
26179,0
26180,0
26181,0
26182,0
26183,0
26184,0
26185,0
26186,0
26187,0
26188,0
26189,0
26190,0
26191,0
26192,0
26193,0
26194,0
26195,0
26196,0
26197,0
26198,0
26199,0
26200,0
26201,0
26202,0
26203,0
26204,0
26205,0
26206,0
26207,0
26208,0
26209,0
26210,0
26211,0
26212,0
26213,0
26214,0
26215,0
26216,0
26217,0
26218,0
26219,0
26220,0
26221,0
26222,0
26223,0
26224,0
26225,0
26226,0
26227,0
26228,0
26229,0
26230,0
26231,0
26232,0
26233,0
26234,0
26235,0
26236,0
26237,0
26238,0
26239,0
26240,0
26241,0
26242,0
26243,0
26244,0
26245,0
26246,0
26247,0
26248,0
26249,0
26250,0
26251,0
26252,0
26253,0
26254,0
26255,0
26256,0
26257,0
26258,0
26259,0
26260,0
26261,0
26262,0
26263,0
26264,0
26265,0
26266,0
26267,0
26268,0
26269,0
26270,0
26271,0
26272,0
26273,0
26274,0
26275,0
26276,0
26277,0
26278,0
26279,0
26280,0
26281,0
26282,0
26283,0
26284,0
26285,0
26286,0
26287,0
26288,0
26289,0
26290,0
26291,0
26292,0
26293,0
26294,0
26295,0
26296,0
26297,0
26298,0
26299,0
26300,0
26301,0
26302,0
26303,0
26304,0
26305,0
26306,0
26307,0
26308,0
26309,0
26310,0
26311,0
26312,0
26313,0
26314,0
26315,0
26316,0
26317,0
26318,0
26319,0
26320,0
26321,0
26322,0
26323,0
26324,0
26325,0
26326,0
26327,0
26328,0
26329,0
26330,0
26331,0
26332,0
26333,0
26334,0
26335,0
26336,0
26337,0
26338,0
26339,0
26340,0
26341,0
26342,0
26343,0
26344,0
26345,0
26346,0
26347,0
26348,0
26349,0
26350,0
26351,0
26352,0
26353,0
26354,0
26355,0
26356,0
26357,0
26358,0
26359,0
26360,0
26361,0
26362,0
26363,0
26364,0
26365,0
26366,0
26367,0
26368,0
26369,0
26370,0
26371,0
