T,,#6464ff
P,False,24305,24336,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97210CC8>
P,False,27001,28355,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97210CC8>
P,False,28355,29964,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97210CC8>
P,False,41620,42467,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97210CC8>
P,False,43247,55042,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97210CC8>
P,False,135278,135448,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97210CC8>
T,,#6464ff
P,False,24307,27000,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,28252,33819,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,33924,41194,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,42470,42605,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,42605,42997,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,42998,43101,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,43101,43239,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,55040,55320,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,55322,55396,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,55400,56168,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,56172,56240,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
P,False,56244,56530,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001BA97213588>
