T,,#6464ff
P,False,24200,24201,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,24555,24717,right hand hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,25364,25430,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,27001,28350,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,28901,28983,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,30145,30285,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,41425,41468,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,41620,42467,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,43247,55041,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,56240,56316,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,56664,56693,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,57145,57179,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,57603,57638,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,58016,58326,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,65416,65447,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,65730,65783,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,80040,80164,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,80595,80647,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,84243,84325,clapping hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,84666,84935,clapping hands,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
P,False,135278,135448,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B6D8>
T,,#6464ff
P,False,24200,25000,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,25001,25084,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,25084,25456,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,25456,25533,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,25533,26957,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,26957,28351,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,28352,28900,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,28901,28983,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,28984,33948,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,33949,34788,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,34789,34875,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,34876,35734,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,35734,35865,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,35864,36717,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,36718,36827,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,36828,37657,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,37658,37789,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,37790,38528,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,38529,38684,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,38685,39481,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,39482,39604,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,39605,40394,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,40395,40503,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,40504,41187,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,41188,41223,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,41224,41305,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,41306,41428,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,41429,41622,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,42468,42605,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,42605,42997,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,42998,43101,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,43103,43165,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,43166,43193,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,43193,43247,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,43248,55040,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,55040,55125,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,55125,55263,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,55264,55321,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,55322,55396,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,55396,56171,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,56172,56240,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,56241,56532,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,56532,56676,sitiing down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,56677,62484,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
P,False,62485,62565,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CF4824B5C0>
