T,,#6464ff
P,False,24305,24311,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47C9D48>
P,False,27001,28355,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47C9D48>
P,False,41620,42467,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47C9D48>
P,False,43247,55042,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47C9D48>
P,False,135278,135448,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47C9D48>
T,,#6464ff
P,False,24307,27000,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,28252,33940,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,33941,34788,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,34789,34875,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,34876,35712,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,35713,35875,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,35876,36717,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,36718,36835,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,36836,37657,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,37658,37802,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,37803,38528,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,38529,38684,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,38685,39481,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,39482,39604,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,39605,40394,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,40395,40503,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,40504,41187,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,41188,41223,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,41224,41305,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,41306,41444,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
P,False,41445,41622,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001CCB47EC448>
