T,,#6464ff
P,False,331,333,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,8700,9305,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,9844,9891,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,10655,10683,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,11490,11644,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,50123,50170,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,50170,50615,partially hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,50661,50860,partially hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,50861,50955,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,58111,58254,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,70062,70204,partially hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,71219,71256,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,71500,71514,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,73012,73209,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,81883,82188,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
P,False,112181,112561,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E10>
T,,#6464ff
P,False,330,8701,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,8702,9292,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,9292,9442,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,9443,9499,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,9500,9565,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,9566,9662,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,9663,9943,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,9942,10013,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,10014,10047,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,10048,10106,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,10106,11490,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,11491,11645,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,11646,13128,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,13128,13247,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,13245,38711,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,38711,38789,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,38789,38948,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,38948,39036,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
P,False,39037,49143,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000021190B13E48>
