T,,#6464ff
P,False,112181,112561,far from the camera,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A2450188>
T,,#6464ff
P,False,9307,9442,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,9443,9526,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,57895,58492,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,58523,58653,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,58654,58699,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,58702,58845,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,58879,58987,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,58988,59886,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,59887,59960,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,59982,60094,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,60095,60162,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,60163,60272,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,60273,60312,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,60309,60411,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
P,False,60412,62662,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000190A245B088>
