Frame,Chorea Label
58493,2
58494,2
58495,2
58496,2
58497,2
58498,2
58499,2
58500,2
58501,2
58502,2
58503,2
58504,2
58505,2
58506,2
58507,2
58508,2
58509,2
58510,2
58511,2
58512,2
58513,2
58514,2
58515,2
58516,2
58517,2
58518,2
58519,2
58520,2
58521,2
58522,2
58523,2
58524,2
58525,2
58526,2
58527,2
58528,2
58529,2
58530,2
58531,2
58532,2
58533,2
58534,2
58535,2
58536,2
58537,2
58538,2
58539,2
58540,2
58541,2
58542,2
58543,2
58544,2
58545,2
58546,2
58547,2
58548,2
58549,2
58550,2
58551,2
58552,2
58553,2
58554,2
58555,2
58556,2
58557,2
58558,2
58559,2
58560,2
58561,2
58562,2
58563,2
58564,2
58565,2
58566,2
58567,2
58568,2
58569,2
58570,2
58571,2
58572,2
58573,2
58574,2
58575,2
58576,2
58577,2
58578,2
58579,2
58580,2
58581,2
58582,2
58583,2
58584,2
58585,2
58586,2
58587,2
58588,2
58589,2
58590,2
58591,2
58592,2
58593,2
58594,2
58595,2
58596,2
58597,2
58598,2
58599,2
58600,2
58601,2
58602,2
58603,2
58604,2
58605,2
58606,2
58607,2
58608,2
58609,2
58610,2
58611,2
58612,2
58613,2
58614,2
58615,2
58616,2
58617,2
58618,2
58619,2
58620,2
58621,2
58622,2
58623,2
58624,2
58625,2
58626,2
58627,2
58628,2
58629,2
58630,2
58631,2
58632,2
58633,2
58634,2
58635,2
58636,2
58637,2
58638,2
58639,2
58640,2
58641,2
58642,2
58643,2
58644,2
58645,2
58646,2
58647,2
58648,2
58649,-9
58650,0
58651,0
58652,0
58653,0
58654,0
58655,0
58656,0
58657,0
58658,0
58659,0
58660,0
58661,0
58662,0
58663,0
58664,0
58665,0
58666,0
58667,0
58668,0
58669,0
58670,0
58671,0
58672,0
58673,0
58674,0
58675,0
58676,0
58677,0
58678,0
58679,0
58680,0
58681,0
58682,0
58683,0
58684,0
58685,0
58686,0
58687,0
58688,0
58689,0
58690,0
58691,0
58692,0
58693,0
58694,0
58695,0
58696,0
58697,0
58698,0
58699,0
58700,0
58701,0
58702,0
58703,0
58704,0
58705,0
58706,0
58707,0
58708,0
58709,0
58710,0
58711,0
58712,0
58713,0
58714,0
58715,0
58716,0
58717,0
58718,0
58719,0
58720,0
58721,0
58722,0
58723,0
58724,0
58725,0
58726,0
58727,0
58728,0
58729,0
58730,0
58731,0
58732,0
58733,0
58734,0
58735,0
58736,0
58737,0
58738,0
58739,0
58740,0
58741,0
58742,0
58743,0
58744,0
58745,0
58746,0
58747,0
58748,0
58749,0
58750,0
58751,0
58752,0
58753,0
58754,0
58755,0
58756,0
58757,0
58758,0
58759,0
58760,0
58761,0
58762,0
58763,0
58764,0
58765,0
58766,0
58767,0
58768,0
58769,0
58770,0
58771,0
58772,0
58773,0
58774,0
58775,0
58776,0
58777,0
58778,0
58779,0
58780,0
58781,0
58782,0
58783,0
58784,0
58785,0
58786,0
58787,0
58788,0
58789,0
58790,0
58791,0
58792,0
58793,0
58794,0
58795,0
58796,0
58797,0
58798,0
58799,0
58800,0
58801,0
58802,0
58803,0
58804,0
58805,0
58806,0
58807,0
58808,0
58809,0
58810,0
58811,0
58812,0
58813,0
58814,0
58815,0
58816,0
58817,0
58818,0
58819,0
58820,0
58821,0
58822,0
58823,0
58824,0
58825,0
58826,0
58827,0
58828,0
58829,0
58830,0
58831,0
58832,0
58833,0
58834,0
58835,0
58836,0
58837,0
58838,0
58839,0
58840,0
58841,0
58842,0
58843,0
58844,0
58845,0
58846,0
58847,-9
58848,2
58849,2
58850,2
58851,2
58852,2
58853,2
58854,2
58855,2
58856,2
58857,2
58858,2
58859,2
58860,2
58861,2
58862,2
58863,2
58864,2
58865,2
58866,2
58867,2
58868,2
58869,2
58870,2
58871,2
58872,2
58873,2
58874,2
58875,2
58876,2
58877,2
59962,2
59963,2
59964,2
59965,2
59966,2
59967,2
59968,2
59969,2
59970,2
59971,2
59972,2
59973,2
59974,2
59975,2
59976,2
59977,2
59978,2
59979,2
59980,2
59981,2
59982,2
59983,2
59984,2
59985,2
59986,2
59987,2
59988,2
59989,2
59990,2
59991,2
59992,2
59993,2
59994,2
59995,2
59996,2
59997,2
59998,2
59999,2
60000,2
60001,2
60002,2
60003,2
60004,2
60005,2
60006,2
60007,2
60008,2
60009,2
60010,2
60011,2
60012,2
60013,2
60014,2
60015,2
60016,2
60017,2
60018,2
60019,2
60020,2
60021,2
60022,2
60023,2
60024,2
60025,2
60026,2
60027,2
60028,2
60029,2
60030,2
60031,2
60032,2
60033,2
60034,2
60035,2
60036,2
60037,2
60038,2
60039,2
60040,2
60041,2
60042,2
60043,2
60044,2
60045,2
60046,2
60047,2
60048,2
60049,2
60050,2
60051,2
60052,2
60053,2
60054,2
60055,2
60056,2
60057,2
60058,2
60059,2
60060,2
60061,2
60062,2
60063,2
60064,2
60065,2
60066,2
60067,2
60068,2
60069,2
60070,2
60071,2
60072,2
60073,2
60074,2
60075,2
60076,2
60077,2
60078,2
60079,2
60080,2
