T,,#6464ff
P,False,41131,41133,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,41551,41951,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,42015,43686,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,47584,47704,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,47705,47830,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,47831,47888,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,48101,48328,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,57488,57763,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,58512,59747,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,59748,59785,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,59786,59830,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,59901,59930,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,60511,60634,modtly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,60635,61178,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,63190,64175,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,68429,68445,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,70477,70525,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,71320,71356,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,71715,71930,right hand hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,75577,75619,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,75831,75864,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,76015,76259,mostly hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,77422,77484,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,87254,87311,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,87343,87392,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,92578,92746,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
P,False,94117,94162,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000175CF479828>
