T,,#6464ff
P,False,41368,41378,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,41549,43686,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,58512,59802,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,60635,61142,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,139638,140683,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,143805,145054,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,146440,147305,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,147598,148188,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,156414,156500,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,176874,177384,hided,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
P,False,183390,183400,end,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7B2988>
T,,#6464ff
P,False,41367,41550,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,41552,43686,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,43688,43777,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,43779,44203,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,44205,44966,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,44968,45153,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,45155,47702,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,47704,47811,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,47812,47967,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,47969,48043,stepping to the side,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,48045,48161,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,48163,48298,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,48300,48423,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,48427,49609,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,49610,50453,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,50454,50598,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,50601,51409,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,51299,51309,,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,51411,51530,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,51532,51582,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,51583,52355,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,52356,52544,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,52545,53391,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,53393,53515,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,53517,54299,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,54301,54489,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,54490,55345,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,55346,55487,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,55489,56344,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,56347,56449,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,56450,56904,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,56903,57294,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,57295,58311,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,58311,58512,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,58513,59803,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,59805,60022,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,60023,60288,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,60290,60346,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,60347,60517,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,60518,60563,turning,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,60563,60632,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,60634,61144,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,61145,61419,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,61421,61484,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,61486,61642,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,61644,61747,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,61749,63250,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,63251,63389,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,63390,63571,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,63572,63712,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,63712,68408,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,68409,68499,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,68500,68643,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,68644,68722,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,68724,69894,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,69896,69985,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,69986,70314,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,70316,70425,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,70427,73032,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73032,73126,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73127,73173,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73174,73264,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73265,73570,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73571,73691,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73693,73774,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,73776,74561,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,74561,74644,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,74645,74714,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,74715,74828,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,74830,74934,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,74936,75033,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75035,75123,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
P,False,75125,75205,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x0000017B6E7AE148>
