Frame,Chorea Label
43687,-9
43688,-9
43689,-9
43690,-9
43691,-9
43692,-9
43693,-9
43694,-9
43695,-9
43696,-9
43697,-9
43698,-9
43699,-9
43700,-9
43701,-9
43702,-9
43703,-9
43704,-9
43705,-9
43706,-9
43707,-9
43708,-9
43709,-9
43710,-9
43711,-9
43712,-9
43713,-9
43714,-9
43715,-9
43716,-9
43717,-9
43718,-9
43719,-9
43720,-9
43721,-9
43722,-9
43723,-9
43724,-9
43725,-9
43726,-9
43727,-9
43728,-9
43729,-9
43730,-9
43731,-9
43732,-9
43733,-9
43734,-9
43735,-9
43736,-9
43737,-9
43738,-9
43739,-9
43740,-9
43741,-9
43742,-9
43743,-9
43744,-9
43745,-9
43746,-9
43747,-9
43748,-9
43749,-9
43750,-9
43751,-9
43752,-9
43753,-9
43754,-9
43755,-9
43756,-9
43757,-9
43758,-9
43759,-9
44182,-9
44183,-9
44184,-9
44185,-9
44186,-9
44187,-9
44188,-9
44189,-9
44190,-9
44191,-9
44192,-9
44193,-9
44194,-9
44195,-9
44196,-9
44197,-9
44198,-9
44199,-9
44200,-9
44201,-9
44202,-9
44203,-9
44204,-9
44205,-9
44206,-9
44207,-9
44208,-9
44209,-9
44210,-9
44211,-9
44212,1
44213,1
44214,1
44215,1
44216,1
44217,1
44218,1
44219,1
44220,1
44221,1
44222,1
44223,1
44224,1
44225,1
44226,1
44227,1
44228,1
44229,1
44230,1
44231,1
44232,1
44233,1
44234,1
44235,1
44236,1
44237,1
44238,1
44239,1
44240,1
44241,1
44242,1
44243,3
44244,3
44245,3
44246,3
44247,3
44248,3
44249,3
44250,3
44251,3
44252,3
44253,3
44254,3
44255,3
44256,3
44257,3
44258,3
44259,3
44260,3
44261,3
44262,3
44263,3
44264,3
44265,3
44266,3
44267,3
44268,3
44269,3
44270,3
44271,3
44272,3
44273,3
44274,3
44275,3
44276,3
44277,3
44278,3
44279,3
44280,3
44281,3
44282,3
44283,3
44284,3
44285,3
44286,3
44287,1
44288,1
44289,1
44290,1
44291,1
44292,1
44293,1
44294,1
44295,1
44296,1
44297,1
44298,1
44299,1
44300,1
44301,1
44302,1
44303,1
44304,1
44305,1
44306,1
44307,1
44308,1
44309,1
44310,1
44311,1
44312,1
44313,1
44314,1
44315,1
44316,1
44317,1
44318,1
44319,1
44320,1
44321,1
44322,1
44323,1
44324,1
44325,1
44326,1
44327,1
44328,1
44329,1
44330,1
44331,1
44332,1
44333,1
44334,1
44335,1
44336,1
44337,1
44338,1
44339,1
44340,1
44341,1
44342,1
44343,1
44344,1
44345,4
44346,4
44347,4
44348,4
44349,4
44350,4
44351,4
44352,4
44353,4
44354,4
44355,4
44356,4
44357,4
44358,4
44359,4
44360,4
44361,4
44362,4
44363,4
44364,4
44365,4
44366,4
44367,4
44368,4
44369,4
44370,4
44371,4
44372,4
44373,4
44374,4
44375,4
44376,4
44377,4
44378,4
44379,4
44380,4
44381,4
44382,4
44383,4
44384,4
44385,4
44386,4
44387,4
44388,4
44389,4
44390,4
44391,4
44392,4
44393,4
44394,4
44395,4
44396,4
44397,4
44398,4
44399,4
44400,4
44401,4
44402,4
44403,4
44404,0
44405,0
44406,0
44407,0
44408,0
44409,0
44410,0
44411,0
44412,0
44413,0
44414,0
44415,0
44416,0
44417,0
44418,0
44419,0
44420,0
44421,0
44422,0
44423,0
44424,0
44425,0
44426,0
44427,0
44428,0
44429,0
44430,0
44431,0
44432,0
44433,0
44434,0
44435,0
44436,0
44437,0
44438,0
44439,0
44440,0
44441,0
44442,0
44443,0
44444,0
44445,0
44446,0
44447,0
44448,0
44449,0
44450,0
44451,0
44452,0
44453,0
44454,0
44455,0
44456,0
44457,0
44458,0
44459,0
44460,0
44461,0
44462,0
44463,0
44464,0
44465,0
44466,0
44467,0
44468,0
44469,0
44470,0
44471,0
44472,0
44473,0
44474,0
44475,0
44476,0
44477,0
44478,0
44479,0
44480,0
44481,0
44482,0
44483,0
44484,0
44485,0
44486,0
44487,1
44488,1
44489,1
44490,1
44491,1
44492,1
44493,1
44494,1
44495,1
44496,1
44497,1
44498,1
44499,1
44500,1
44501,1
44502,1
44503,1
44504,1
44505,1
44506,1
44507,1
44508,1
44509,1
44510,1
44511,1
44512,1
44513,1
44514,1
44515,1
44516,1
44517,1
44518,1
44519,1
44520,1
44521,1
44522,1
44523,1
44524,1
44525,1
44526,1
44527,1
44528,1
44529,1
44530,1
44531,1
44532,1
44533,1
44534,1
44535,1
44536,1
44537,1
44538,1
44539,1
44540,1
44541,1
44542,1
44543,1
44544,1
44545,1
44546,1
44547,1
44548,1
44549,1
44550,1
44551,1
44552,1
44553,1
44554,1
44555,1
44556,1
44557,2
44558,2
44559,2
44560,2
44561,2
44562,2
44563,2
44564,2
44565,2
44566,2
44567,2
44568,2
44569,2
44570,2
44571,2
44572,2
44573,2
44574,2
44575,2
44576,2
44577,2
44578,2
44579,2
44580,2
44581,2
44582,2
44583,2
44584,2
44585,2
44586,2
44587,2
44588,2
44589,2
44590,2
44591,2
44592,2
44593,2
44594,2
44595,2
44596,2
44597,2
44598,2
44599,2
44600,2
44601,2
44602,2
44603,2
44604,2
44605,2
44606,2
44607,2
44608,2
44609,2
44610,2
44611,2
44612,2
44613,2
44614,2
44615,2
44616,2
44617,2
44618,2
44619,2
44620,2
44621,2
44622,2
44623,4
44624,4
44625,4
44626,4
44627,4
44628,4
44629,4
44630,4
44631,4
44632,4
44633,4
44634,4
44635,4
44636,4
44637,4
44638,4
44639,4
44640,4
44641,4
44642,4
44643,4
44644,4
44645,4
44646,4
44647,4
44648,4
44649,4
44650,4
44651,4
44652,4
44653,4
44654,4
44655,4
44656,4
44657,4
44658,4
44659,4
44660,4
44661,4
44662,4
44663,4
44664,4
44665,4
44666,4
44667,4
44668,4
44669,4
44670,4
44671,4
44672,4
44673,4
44674,4
44675,4
44676,4
44677,4
44678,4
44679,4
44680,4
44681,4
44682,4
44683,4
44684,4
44685,4
44686,4
44687,4
44688,4
44689,4
44690,4
44691,4
44692,4
44693,4
44694,4
44695,4
44696,4
44697,4
44698,4
44699,4
44700,4
44701,4
44702,4
44703,4
44704,4
44705,4
44706,4
44707,4
44708,4
44709,4
44710,4
44711,4
44712,4
44713,4
44714,4
44715,4
44716,4
44717,4
44718,4
44719,4
44720,4
44721,4
44722,4
44723,4
44724,4
44725,4
44726,4
44727,4
44728,4
44729,4
44730,4
44731,4
44732,4
44733,4
44734,4
44735,4
44736,4
44737,4
44738,4
44739,4
44740,4
44741,4
44742,4
44743,4
44744,4
44745,4
44746,4
44747,4
44748,4
44749,4
44750,4
44751,4
44752,4
44753,4
44754,4
44755,4
44756,4
44757,4
44758,4
44759,4
44760,4
44761,4
44762,4
44763,4
44764,4
44765,4
44766,4
44767,4
44768,4
44769,4
44770,4
44771,4
44772,4
44773,4
44774,4
44775,4
44776,4
44777,4
44778,4
44779,4
44780,4
44781,4
44782,4
44783,4
44784,4
44785,4
44786,4
44787,4
44788,4
44789,4
44790,4
44791,4
44792,4
44793,4
44794,4
44795,4
44796,4
44797,4
44798,4
44799,4
44800,4
44801,4
44802,4
44803,4
44804,4
44805,4
44806,4
44807,4
44808,4
44809,4
44810,4
44811,4
44812,4
44813,4
44814,4
44815,4
44816,4
44817,4
44818,4
44819,4
44820,4
44821,4
44822,4
44823,4
44824,4
44825,4
44826,4
44827,4
44828,4
44829,4
44830,4
44831,4
44832,4
44833,4
44834,4
44835,4
44836,4
44837,4
44838,4
44839,4
44840,4
44841,4
44842,4
44843,4
44844,4
44845,4
44846,4
44847,4
44848,4
44849,4
44850,4
44851,4
44852,4
44853,4
44854,4
44855,4
44856,4
44857,4
44858,4
44859,4
44860,4
44861,4
44862,4
44863,4
44864,4
44865,4
44866,4
44867,4
44868,4
44869,4
44870,4
44871,4
44872,4
44873,4
44874,4
44875,4
44876,4
44877,4
44878,4
44879,4
44880,4
44881,4
44882,4
44883,4
44884,4
44885,4
44886,4
44887,4
44888,4
44889,4
44890,4
44891,4
44892,4
44893,4
44894,4
44895,4
44896,4
44897,4
44898,4
44899,4
44900,4
44901,4
44902,4
44903,4
44904,4
44905,4
44906,4
44907,4
44908,4
44909,4
44910,4
44911,4
44912,4
44913,4
44914,4
44915,4
44916,4
44917,4
44918,4
44919,4
44920,4
44921,4
44922,4
44923,4
44924,4
44925,4
44926,4
44927,4
44928,4
44929,4
44930,4
44931,4
44932,4
44933,4
44934,4
44935,4
44936,4
44937,4
44938,4
44939,4
44940,4
44941,4
44942,4
44943,4
44944,4
44945,4
44946,4
44947,4
44948,4
44949,4
44950,4
44951,4
44952,4
44953,4
44954,4
44955,4
44956,4
44957,4
44958,2
44959,2
44960,2
44961,2
44962,2
44963,2
44964,2
44965,2
44966,2
44967,2
44968,2
44969,2
44970,2
44971,2
44972,2
44973,2
44974,2
44975,2
44976,2
44977,2
44978,2
44979,2
44980,-9
47843,-9
47844,-9
47845,-9
47846,-9
47847,-9
47848,-9
47849,-9
47850,-9
47851,-9
47852,-9
47853,-9
47854,-9
47855,-9
47856,-9
47857,-9
47858,-9
47859,-9
47860,-9
47861,-9
47862,-9
47863,-9
47864,-9
47865,-9
47866,-9
47867,-9
47868,-9
47869,-9
47870,-9
47871,-9
47872,-9
47873,-9
47874,-9
47875,-9
47876,-9
47877,-9
47878,-9
47879,-9
47880,-9
47881,-9
47882,-9
47883,-9
47884,-9
47885,-9
47886,-9
47887,-9
47888,4
47889,4
47890,4
47891,4
47892,4
47893,4
47894,4
47895,4
47896,4
47897,4
47898,4
47899,4
47900,4
47901,4
47902,4
47903,4
47904,4
47905,4
47906,4
47907,4
47908,4
47909,4
47910,4
47911,4
47912,4
47913,4
47914,4
47915,4
47916,4
47917,4
47918,4
47919,4
47920,4
47921,4
47922,4
47923,4
47924,4
47925,4
47926,4
47927,4
47928,4
47929,4
47930,4
47931,4
47932,4
47933,4
47934,4
47935,4
47936,4
47937,4
47938,4
47939,4
47940,4
47941,4
47942,4
47943,4
47944,4
47945,4
47946,4
47947,4
47948,4
47949,4
47950,4
47951,4
47952,4
47953,4
47954,4
47955,4
47956,4
47957,4
47958,4
47959,4
47960,4
47961,4
47962,4
47963,4
47964,4
47965,4
47966,4
47967,4
47968,4
47969,4
47970,4
47971,4
48169,4
48170,4
48171,4
48172,4
48173,4
48174,4
48175,4
48176,4
48177,4
48178,4
48179,4
48180,4
48181,4
48182,4
48183,4
48184,4
48185,4
48186,4
48187,4
48188,4
48189,4
48190,4
48191,4
48192,4
48193,4
48194,4
48195,4
48196,4
48197,4
48198,4
48199,4
48200,4
48201,4
