Frame,Chorea Label
43688,-9
43689,-9
43690,-9
43691,-9
43692,-9
43693,-9
43694,-9
43695,-9
43696,-9
43697,-9
43698,-9
43699,-9
43700,-9
43701,-9
43702,-9
43703,-9
43704,-9
43705,-9
43706,-9
43707,-9
43708,-9
43709,-9
43710,-9
43711,-9
43712,-9
43713,-9
43714,-9
43715,-9
43716,-9
43717,-9
43718,-9
43719,-9
43720,-9
43721,-9
43722,-9
43723,-9
43724,-9
43725,-9
43726,-9
43727,-9
43728,-9
43729,-9
43730,-9
43731,-9
43732,-9
43733,-9
43734,-9
43735,-9
43736,-9
43737,-9
43738,-9
43739,-9
43740,-9
43741,-9
43742,-9
43743,-9
43744,-9
43745,-9
43746,-9
43747,-9
43748,-9
43749,-9
43750,-9
43751,-9
43752,-9
43753,-9
43754,-9
43755,-9
43756,-9
43757,-9
43758,-9
43759,-9
43760,-9
43761,-9
43762,-9
43763,-9
43764,-9
43765,-9
43766,-9
43767,-9
43768,-9
43769,-9
43770,-9
43771,-9
43772,-9
43773,-9
43774,-9
43775,-9
43776,-9
43777,-9
44205,1
44206,1
44207,1
44208,1
44209,1
44210,1
44211,1
44212,1
44213,1
44214,1
44215,1
44216,1
44217,1
44218,1
44219,1
44220,1
44221,1
44222,1
44223,1
44224,1
44225,1
44226,1
44227,1
44228,1
44229,1
44230,1
44231,1
44232,1
44233,1
44234,1
44235,1
44236,1
44237,1
44238,1
44239,1
44240,1
44241,1
44242,1
44243,1
44244,1
44245,1
44246,1
44247,1
44248,1
44249,1
44250,3
44251,3
44252,3
44253,3
44254,3
44255,3
44256,3
44257,3
44258,3
44259,3
44260,3
44261,3
44262,3
44263,3
44264,3
44265,3
44266,3
44267,3
44268,3
44269,3
44270,3
44271,3
44272,3
44273,3
44274,3
44275,3
44276,3
44277,3
44278,3
44279,3
44280,3
44281,3
44282,3
44283,3
44284,3
44285,3
44286,3
44287,3
44288,3
44289,3
44290,1
44291,1
44292,1
44293,1
44294,1
44295,1
44296,1
44297,1
44298,1
44299,1
44300,1
44301,1
44302,1
44303,1
44304,1
44305,1
44306,1
44307,1
44308,1
44309,1
44310,1
44311,1
44312,1
44313,1
44314,1
44315,1
44316,1
44317,1
44318,1
44319,1
44320,1
44321,1
44322,1
44323,1
44324,1
44325,1
44326,1
44327,1
44328,1
44329,1
44330,1
44331,1
44332,1
44333,1
44334,1
44335,1
44336,1
44337,1
44338,1
44339,1
44340,1
44341,1
44342,1
44343,1
44344,1
44345,1
44346,1
44347,1
44348,4
44349,4
44350,4
44351,4
44352,4
44353,4
44354,4
44355,4
44356,4
44357,4
44358,4
44359,4
44360,4
44361,4
44362,4
44363,4
44364,4
44365,4
44366,4
44367,4
44368,4
44369,4
44370,4
44371,4
44372,4
44373,4
44374,4
44375,4
44376,4
44377,4
44378,4
44379,4
44380,4
44381,4
44382,4
44383,4
44384,4
44385,4
44386,4
44387,-9
44388,1
44389,1
44390,1
44391,1
44392,1
44393,1
44394,1
44395,1
44396,1
44397,1
44398,1
44399,1
44400,1
44401,1
44402,1
44403,1
44404,1
44405,1
44406,1
44407,1
44408,1
44409,1
44410,1
44411,1
44412,1
44413,1
44414,1
44415,1
44416,1
44417,1
44418,1
44419,1
44420,1
44421,1
44422,1
44423,1
44424,1
44425,1
44426,1
44427,1
44428,1
44429,1
44430,1
44431,1
44432,1
44433,1
44434,1
44435,1
44436,1
44437,1
44438,1
44439,1
44440,1
44441,1
44442,1
44443,1
44444,1
44445,1
44446,1
44447,1
44448,1
44449,1
44450,1
44451,1
44452,1
44453,1
44454,1
44455,1
44456,1
44457,1
44458,1
44459,1
44460,1
44461,1
44462,1
44463,1
44464,1
44465,1
44466,1
44467,1
44468,1
44469,1
44470,1
44471,1
44472,1
44473,1
44474,1
44475,1
44476,1
44477,1
44478,1
44479,1
44480,1
44481,1
44482,1
44483,1
44484,1
44485,1
44486,1
44487,1
44488,1
44489,1
44490,1
44491,1
44492,1
44493,1
44494,1
44495,1
44496,1
44497,1
44498,1
44499,1
44500,1
44501,1
44502,1
44503,1
44504,1
44505,1
44506,1
44507,1
44508,1
44509,1
44510,1
44511,1
44512,1
44513,1
44514,1
44515,1
44516,1
44517,1
44518,1
44519,1
44520,1
44521,1
44522,1
44523,1
44524,1
44525,1
44526,1
44527,1
44528,1
44529,1
44530,1
44531,1
44532,1
44533,1
44534,1
44535,1
44536,1
44537,1
44538,1
44539,1
44540,1
44541,1
44542,1
44543,1
44544,1
44545,1
44546,1
44547,1
44548,1
44549,1
44550,1
44551,1
44552,1
44553,1
44554,1
44555,1
44556,1
44557,1
44558,1
44559,1
44560,1
44561,1
44562,1
44563,1
44564,1
44565,1
44566,1
44567,1
44568,1
44569,1
44570,1
44571,1
44572,1
44573,1
44574,1
44575,1
44576,1
44577,1
44578,1
44579,1
44580,1
44581,1
44582,1
44583,1
44584,1
44585,1
44586,1
44587,1
44588,1
44589,1
44590,1
44591,1
44592,1
44593,1
44594,1
44595,1
44596,1
44597,1
44598,1
44599,1
44600,1
44601,1
44602,1
44603,1
44604,1
44605,1
44606,1
44607,1
44608,1
44609,1
44610,1
44611,1
44612,1
44613,1
44614,1
44615,1
44616,1
44617,1
44618,1
44619,1
44620,1
44621,1
44622,1
44623,1
44624,1
44625,1
44626,1
44627,1
44628,1
44629,1
44630,1
44631,1
44632,1
44633,1
44634,1
44635,1
44636,1
44637,1
44638,4
44639,4
44640,4
44641,4
44642,4
44643,4
44644,4
44645,4
44646,4
44647,4
44648,4
44649,4
44650,4
44651,4
44652,4
44653,4
44654,4
44655,4
44656,4
44657,4
44658,4
44659,4
44660,4
44661,4
44662,4
44663,4
44664,4
44665,4
44666,4
44667,4
44668,4
44669,4
44670,4
44671,4
44672,4
44673,4
44674,4
44675,4
44676,4
44677,4
44678,4
44679,4
44680,4
44681,4
44682,4
44683,4
44684,4
44685,4
44686,4
44687,4
44688,4
44689,4
44690,4
44691,4
44692,4
44693,4
44694,4
44695,4
44696,4
44697,4
44698,4
44699,4
44700,4
44701,4
44702,4
44703,4
44704,4
44705,4
44706,4
44707,4
44708,4
44709,4
44710,4
44711,4
44712,4
44713,4
44714,4
44715,4
44716,4
44717,4
44718,4
44719,4
44720,4
44721,4
44722,4
44723,4
44724,4
44725,4
